1,1,8,2024-09-20 12:34:56,"Great Smartphone","I love this smartphone. It's fast and has a great camera.",5,2024-10-07 09:35:40
1,3,9,2024-09-22 14:45:30,"Amazing Headphones","The sound quality is fantastic and the noise cancellation is great.",3,2024-10-07 09:35:40
1,5,7,2024-09-23 09:15:00,"Good Quality Jeans","These jeans fit well and are very comfortable.",2,2024-10-07 09:35:40
2,2,9,2024-09-25 10:30:45,"Excellent Laptop","This laptop is lightweight and performs very well for work.",8,2024-10-07 09:35:40
2,7,6,2024-09-26 16:20:10,"Solid Blender","Good for making smoothies, but it's a bit loud.",1,2024-10-07 09:35:40
4,9,9,2024-09-28 13:10:00,"Great Vacuum Cleaner","Super powerful and easy to use. Worth the price.",12,2024-10-07 09:35:40
4,8,8,2024-09-29 11:45:50,"Decent Coffee Maker","Makes great coffee but takes a bit longer than expected.",4,2024-10-07 09:35:40
5,6,7,2024-09-30 08:50:22,"Nice Jacket","Stylish and keeps me warm during the winter.",6,2024-10-07 09:35:40
5,2,9,2024-10-01 12:10:10,"Fantastic Laptop","Fast and reliable. Perfect for both work and play.",7,2024-10-07 09:35:40
7,1,9,2024-10-02 15:35:45,"Best Smartphone Ever","This is hands down the best phone I've ever owned.",10,2024-10-07 09:35:40
7,10,9,2024-10-03 17:50:30,"Great Tablet","I love using this tablet for both work and entertainment.",5,2024-10-07 09:35:40
7,5,7,2024-10-04 19:20:10,"Comfortable Jeans","These jeans are both comfortable and stylish.",2,2024-10-07 09:35:40
10,4,8,2024-10-05 21:15:20,"Good T-shirt","Fits perfectly and feels very soft.",3,2024-10-07 09:35:40
10,6,9,2024-10-06 14:25:30,"Great Jacket","Keeps me warm and looks great.",7,2024-10-07 09:35:40
10,9,9,2024-10-07 09:35:40,"Amazing Vacuum Cleaner","Works wonders on both carpets and hard floors.",9,2024-10-07 09:35:40
