1,1,Smartphone,A high-end smartphone with a 6.5-inch display and 128GB storage.,"Smartphone Image"
2,1,Laptop,A lightweight laptop with 16GB RAM and 512GB SSD.,"Laptop Image"
3,1,Headphones,Noise-cancelling over-ear headphones with Bluetooth connectivity.,"Headphones Image"
4,2,T-shirt,A soft cotton t-shirt available in multiple colors and sizes.,"T-shirt Image"
5,2,Jeans,Classic blue denim jeans with a comfortable fit.,"Jeans Image"
6,2,Jacket,A stylish jacket made from premium materials, suitable for all seasons.,"Jacket Image"
7,3,Blender,A powerful blender with multiple speed settings and a large capacity.,"Blender Image"
8,3,Coffee Maker,An automatic coffee maker with programmable features and a reusable filter.,"Coffee Maker Image"
9,3,Vacuum Cleaner,A cordless vacuum cleaner with powerful suction and long battery life.,"Vacuum Cleaner Image"
10,1,Tablet,A versatile tablet with a 10-inch display and 64GB storage.,"Tablet Image"
