1,6,8,2024-09-25 10:45:00,"Great Seller","The seller was responsive and shipped quickly.",4,2024-10-09 15:55:30
1,3,9,2024-09-27 12:50:30,"Excellent Service","Fast shipping and the product was exactly as described.",6,2024-10-09 15:55:30
2,6,7,2024-09-28 14:30:00,"Good Communication","Seller was helpful but the product took a bit longer to arrive.",3,2024-10-09 15:55:30
2,8,9,2024-09-30 16:40:50,"Fantastic Experience","Seller went above and beyond to ensure my satisfaction.",8,2024-10-09 15:55:30
2,9,8,2024-10-01 09:15:40,"Satisfied Customer","The product arrived on time and was as described.",5,2024-10-09 15:55:30
4,9,9,2024-10-01 10:20:00,"Excellent Seller","The seller was very helpful and provided great service.",7,2024-10-09 15:55:30
4,3,8,2024-10-02 11:30:45,"Great Seller","Fast shipping and good quality product.",6,2024-10-09 15:55:30
4,6,9,2024-10-03 12:40:00,"Highly Recommend","The seller was responsive and professional.",8,2024-10-09 15:55:30
5,6,9,2024-10-03 13:50:30,"Wonderful Seller","Good communication and fast delivery.",5,2024-10-09 15:55:30
5,8,8,2024-10-04 14:55:20,"Good Experience","Seller provided accurate details and shipped fast.",4,2024-10-09 15:55:30
5,9,9,2024-10-05 16:05:10,"Very Professional","The seller was very professional and helpful.",7,2024-10-09 15:55:30
7,9,7,2024-10-06 11:15:30,"Decent Seller","Product was okay, but shipping took longer than expected.",3,2024-10-09 15:55:30
7,3,9,2024-10-07 12:25:10,"Great Seller","I had a great experience with this seller.",6,2024-10-09 15:55:30
10,8,8,2024-10-08 14:45:50,"Great Seller","Seller provided prompt responses and quick delivery.",5,2024-10-09 15:55:30
10,9,9,2024-10-09 15:55:30,"Fantastic Service","The seller exceeded my expectations with fast delivery.",7,2024-10-09 15:55:30
